pool_slot,changeout_week,equipo,component_serial,changeout_date,arrival_week,pool_changeout_type,component_code
1,2023-W27,856,#EG08090003,2023-07-03,2023-W40,I,bp
1,2023-W27,870,#EMYK00473,2023-07-03,2023-W34,P,cd
1,2023-W27,858,#66303255,2023-07-03,2023-W48,I,mp
1,2023-W28,874,#240,2023-07-10,2023-W45,I,cms
1,2023-W29,866,#W12010011,2023-07-17,2023-W48,I,mt
1,2023-W29,868,#217,2023-07-17,2023-W47,I,st
1,2023-W30,872,#178,2023-07-24,2023-W41,P,cl
1,2023-W41,868,#EE13111435,2023-10-09,2024-W3,I,bp
1,2023-W46,850,#107,2023-11-13,2024-W11,I,cms
1,2023-W51,879,#EMWH336,2023-12-18,2024-W13,I,cd
1,2024-W2,869,#66303960,2024-01-08,2024-W21,I,mp
1,2024-W6,872,#EE14091124,2024-02-05,2024-W13,P,bp
1,2024-W12,867,#153,2024-03-18,2024-W21,P,cms
1,2024-W13,857,#WX14020008T,2024-03-25,2024-W24,P,mt
1,2024-W16,869,#696R009,2024-04-15,2024-W34,I,st
1,2024-W17,878,#EG07080105,2024-04-22,2024-W24,P,bp
1,2024-W22,863,#236,2024-05-27,2024-W40,I,cms
1,2024-W22,399,#LM017275,2024-05-27,2024-W41,I,cl
1,2024-W24,866,#EMWL374,2024-06-10,2024-W31,P,cd
1,2024-W32,399,#W11110015,2024-08-05,2024-W51,I,mt
2,2023-W27,881,#EN12040115,2023-07-03,2023-W34,P,bp
2,2023-W27,851,#EMWG300,2023-07-03,2023-W34,P,cd
2,2023-W30,875,#201-1,2023-07-24,2023-W46,I,cms
2,2023-W31,874,#WX15040005T,2023-07-31,2023-W50,I,mt
2,2023-W31,856,#66302201,2023-07-31,2023-W46,P,mp
2,2023-W35,849,#LM020979,2023-08-28,2023-W44,P,st
2,2023-W35,861,#RLTC707,2023-08-28,2023-W46,P,cl
2,2023-W38,396,#EE14010094,2023-09-18,2023-W49,I,bp
2,2023-W47,874,#006,2023-11-20,2024-W4,P,cms
2,2023-W47,883,#66303315,2023-11-20,2024-W5,I,mp
2,2023-W50,865,#EE06040239,2023-12-11,2024-W12,I,bp
2,2023-W52,882,#26KF32,2023-12-25,2024-W14,I,cd
2,2024-W5,866,#107-1,2024-01-29,2024-W16,I,cms
2,2024-W6,868,#66303006,2024-02-05,2024-W20,P,mp
2,2024-W14,879,#WX14030010T,2024-04-01,2024-W25,P,mt
2,2024-W17,857,#190,2024-04-22,2024-W28,I,cms
2,2024-W18,864,#EE14070950,2024-04-29,2024-W25,P,bp
2,2024-W18,882,#RLTF718,2024-04-29,2024-W36,I,st
2,2024-W22,399,#223,2024-05-27,2024-W41,I,cl
2,2024-W25,869,#EMVM323,2024-06-17,2024-W32,P,cd
2,2024-W29,857,#123,2024-07-15,2024-W47,I,cms
3,2023-W27,875,#EN11110073,2023-07-03,2023-W38,I,bp
3,2023-W27,856,#EMYK00482,2023-07-03,2023-W41,I,cd
3,2023-W31,854,#223,2023-07-31,2023-W49,I,cms
2,2024-W21,847,#66303003,2024-05-25,,P,mp
3,2023-W34,882,#66305392,2023-08-21,2023-W47,P,mp
3,2023-W37,320,#RLSM673,2023-09-11,2023-W46,P,st
3,2023-W39,861,#EN12090076,2023-09-25,2024-W1,I,bp
3,2023-W39,875,#W12010016,2023-09-25,2024-W6,I,mt
3,2023-W41,856,#101,2023-10-09,2023-W52,P,cl
3,2023-W49,852,#66303216,2023-12-04,2024-W17,I,mp
3,2023-W52,883,#241,2023-12-25,2024-W7,P,cms
3,2024-W1,882,#26KF32,2024-01-01,2024-W15,I,cd
3,2024-W8,860,#EE13080690,2024-02-19,2024-W15,P,bp
3,2024-W8,865,#166,2024-02-19,2024-W19,I,cms
3,2024-W15,864,#WX14030012T,2024-04-08,2024-W34,I,mt
3,2024-W18,852,???,2024-04-29,,E,mp
3,2024-W19,882,#RLTA681,2024-05-06,2024-W37,I,st
3,2024-W20,852,#153,2024-05-13,2024-W38,I,cms
3,2024-W23,872,#EE13101136,2024-06-03,2024-W30,P,bp
3,2024-W26,855,#EMYK00476,2024-06-24,2024-W33,P,cd
4,2023-W28,883,#EN12090007,2023-07-10,2023-W38,I,bp
4,2023-W28,849,#60-LB60,2023-07-10,2023-W42,I,cd
4,2023-W31,859,#189,2023-07-31,2023-W49,I,cms
4,2023-W38,875,#66302125,2023-09-18,2023-W51,P,mp
4,2023-W39,881,#EE14050652,2023-09-25,2024-W1,I,bp
4,2023-W41,865,#134,2023-10-09,2023-W50,P,st
4,2023-W42,860,#W11110015,2023-10-16,2024-W9,I,mt
4,2023-W51,398,#LM017653,2023-12-18,2024-W10,P,cl
4,2023-W52,871,#66305544,2023-12-25,2024-W15,P,mp
4,2024-W1,865,#137,2024-01-01,2024-W15,I,cms
4,2024-W2,398,#EMWL373,2024-01-08,2024-W16,I,cd
4,2024-W9,862,#EE13010009A,2024-02-26,2024-W16,P,bp
4,2024-W16,866,#219,2024-04-15,2024-W23,P,cms
4,2024-W17,399,#W11110013,2024-04-22,2024-W36,I,mt
4,2024-W22,398,#RLTF714,2024-05-27,2024-W40,I,st
4,2024-W24,852,#153,2024-06-10,2024-W42,I,cms
4,2024-W26,855,#469,2024-06-24,2024-W40,I,cd
4,2024-W27,879,#EE13101129,2024-07-01,2024-W34,I,bp
5,2023-W28,857,#EMXK395,2023-07-10,2023-W42,I,cd
5,2023-W29,870,#EE14010117,2023-07-17,2023-W42,I,bp
5,2023-W34,858,#196,2023-08-21,2023-W42,P,cms
5,2023-W42,847,#219,2023-10-16,2023-W51,P,st
5,2023-W43,847,#EG07080103,2023-10-23,2023-W50,P,bp
5,2023-W43,860,#WX1606Y004T,2023-10-23,2024-W10,I,mt
5,2023-W43,860,#197,2023-10-23,2024-W8,I,cms
4,2024-W24,861,#EE14010714,2024-05-17,,P,mp
5,2023-W43,877,#66304561,2023-10-23,2024-W10,I,mp
5,2024-W2,883,#223,2024-01-08,2024-W13,P,cl
5,2024-W4,882,#EMXK392,2024-01-22,2024-W18,I,cd
5,2024-W9,870,#150,2024-02-26,2024-W21,I,cms
