pool_number,cc_week,equipo,component_serial,component_tag,year,week,componente,SUB COMPONENTE,MODELO,POSICION,FECHA DE CAMBIO,HORA EQ,HORA CC,MENOR AL 90% TBO,TBO,USO,DESCRIPCIÓN DE FALLA,SUBCOMPONENTE FALLADO,MODO DE FALLA,Equipo SAP,ORDEN,ID,Reseva,Aviso,N/S INSTALADO,Equipo,Solicitud de montaje,OS,OS 14.000,RMCARE,Pauta puesta servicio(entrante),TSI,No Conformidad,CLASIFICACIÓN,COMENTARIO ENTRANTE,COMENTARIO SALIENTE,Proyeccion Horómetro,% uso Proyectado,pool_type,ohv_normal,ohv_unplanned,cc_date,arrival_date
1,2023-W27,856,#EG08090003,bl,2023,27,Blower,Blower,960E,DERECHO,2023-07-03,59458,5726,0.0,20000,0.2863,"Se procede a cambio de blower N°2 por imprevisto ya que se detecta daño en conmutador por flashover, componente no es considerado para cambio en plan semanal W27.",Conmutador,,200330158,400352474,230705173242,2562156,10359631,#EE13111394,200199055,82638,18121108,,CERRADA,,,,Producto,,,6460.0,0.323,I,51,101,2023-07-03,2023-10-12
1,2023-W41,868,#EE13111435,bl,2023,41,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2023-10-09,2024-01-18
1,2024-W06,872,#EE14091124,bl,2024,06,Blower,Blower,960E,DERECHO,2024-02-10,55910,25840,1.0,20000,1.292,"Se procede a cambio de Blower N°2 por cumplimiento de TBO establecido , componente es considerado para cambio en plan semanal W6.",TBO,TBO,200234865,400365809,240211145723,2681083,10369080,#EG07080103,200029686,86784,18124814,,CERRADO,,,,TBO,,,2686.0,0.1343,P,51,101,2024-02-05,2024-03-27
1,2024-W17,878,#EG07080105,bl,2024,17,Blower,Blower,960E,IZQUIERDO,2024-04-22,57606,10203,,20000,0.51015,"Se procede a cambio de blower N°1,  por presentar daños en conmutador y carbones, Componente no es considerado para cambio en plan semanal W17.",Conmutador,Conmutador,200029685,400369993,240423114428,2721513,10372219,#EN1210042,200119749,88174,18126165,,CERRADO,,,,Producto,,,,,I,51,101,2024-04-22,2024-08-01
2,2023-W27,881,#EN12040115,bl,2023,27,Blower,Blower,960E,IZQUIERDO,2023-07-05,42935,24180,1.0,20000,1.209,Se procede a cambio de blower 1 por TBO. Componente es considerado dentro del plan semanal,TBO,TBO,200136925,400352715,230706100701,2563223,10359671,#EE04070186,200033597,82444,18121203,,CERRADA,,,,TBO,,,6426.0,0.3213,P,51,101,2023-07-03,2023-08-23
2,2023-W38,396,#,bl,2023,38,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2023-09-18,2023-12-28
2,2023-W50,865,#EE06040239,bl,2023,50,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2023-12-11,2024-03-21
2,2024-W18,864,#EE14070950,bl,2024,18,Blower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,51,101,2024-04-29,2024-08-08
3,2023-W27,875,#EN11110073,bl,2023,27,Blower,Blower,960E,IZQUIERDO,2023-07-09,52449,23790,,20000,1.1895,"Se realiza cambio de blower 1 por fractura de alabes produciendo un amago de incendio, componente no es considerado dentro del plan semanal",Álabes,,200166038,400352839,230710083235,2564930,10359709,#EE14010114,200214262,82757,18121060,,CERRADA,,,,Producto,,,6358.0,0.3179,P,51,101,2023-07-03,2023-08-23
3,2023-W39,861,#EN12090076,bl,2023,39,Blower,Blower,960E,IZQUIERDO,2023-09-26,57589,7568,0.0,20000,0.3784,"Se procede a cambio de blower N°1, Ya que se evalua equipo detectando codigo 36/5, se revisa sistema electrico asociado a la falla, detectando blower N°1 en corto circuito. Componente no es considerado para cambio en plan semanal W39.",Alabes,cortocircuito,200123616,400357732,230927133319,2606422,10362882,#EE13040236,200141039,84278,18122519,,CERRADO,,,,Mantenimiento,,,5015.0,0.25075,I,51,101,2023-09-25,2024-01-04
